,text
210,Saw game changers on Netflix. Being a vegetarian athlete has made me realise what I have believed all these years r… https://t.co/FNCNwMIAPR
211,"Now that's a good idea to test the Air Conditioning by getting more Virats in a room 🙃 Agree? 

Glad to be a part o… https://t.co/zxdMGF3VRA"
212,"So proud of this amazing team and the hard work which is put in day in and day out.
Onwards and upwards 💯💪 https://t.co/NRd7A0HmqD"
213,Positive spirits in today's training session. All set for tomorrow! 💪🏼 https://t.co/BieZYpeiIo
214,The ones who fast together laugh together ❤️😃. Happy karvachauth 😇 https://t.co/7KQXp0Jkcc
215,You and your friend could win an all-expense-paid trip to New Zealand! 👍 Follow the instructions in the video to kn… https://t.co/TdtBFrwelO
216,Don't worry be happy! 😃 https://t.co/siBUB5Y9Tl
217,"When the Wrogn side beckons, ride into it with laughter and a spirit of adventure.😉 @StayWrogn AW'19 collection out… https://t.co/QijX1uFroy"
218,Great team effort and spirit shown by the boys. 🇮🇳  #INDvSA https://t.co/oexEQLzNTq
219,Happy bday mad one. 💪😘 https://t.co/KBzqkym9Of
220,"Special win in Vizag. 🇮🇳
On to the next one now! 💪 https://t.co/KbQZR7bgnP"
221,Always looking forward to Test Cricket! 🏏 https://t.co/Mx98AP34og
222,"Being restless is no more uncomfortable 👊  

https://t.co/ajb2feiae2

#one8innerwear #TheBigBillionDays @Flipkart https://t.co/HhDdyjEZBK"
223,Glad to be back for the 2nd edition of @sportshonours . A good initiative to honour those who won laurels for the c… https://t.co/z9Q4VkCG4P
225,"It was a special day interacting with the #ViratKohliFoundation athletes.
With discpline, determination and dedicat… https://t.co/ohxnRYhjCy"
226,Excited to be a part of @FCGoaOfficial jersey launch for the season. 🔥 The home kit looks vibrant and resonates wit… https://t.co/qh9cSZpj1i
228,Me looking at my younger self going 🙅‍♂️🤦‍♂️. #throwback #16yearsold https://t.co/EMFtD7TMnl
229,"Superb performance by @Phogat_Vinesh, for winning the Bronze medal🥉at the World Championships and congratulations o… https://t.co/D41tzhhHlI"
230,"I love this game 💙
See you in Bengaluru 🙏🏼 #INDvSA https://t.co/R07Dz4VFlF"
232,"Wishing our honourable Prime Minister, @narendramodi ji a very happy birthday. Wish you all the good health and suc… https://t.co/BXsXDkhGsu"
233,"T H I S made my day! 👏 Excited to reveal the No Gas range of #one8Fragrances. For exclusive launch offers, check… https://t.co/RxfrsYuHWk"
234,Mohali bound ✈ @hardikpandya7 #travelinstyle https://t.co/6jMXP7Katm
235,Caught in the moment. Pic credit @AnushkaSharma ♥️ https://t.co/hX3DzidDr0
236,"Eyes on the ball! 👀
#IndvSA https://t.co/ULnzeVsAhb"
238,Thank you @delhi_cricket and @BCCI for bestowing this honour upon me. The pavilion will remind me of my journey in… https://t.co/wLjDw54NMV
239,Ready to roll. @one8Select 👀👞 https://t.co/Wyew4GVV1F
240,"A game I can never forget. Special night. This man, made me run like in a fitness test 😄 @msdhoni 🇮🇳 https://t.co/pzkr5zn4pG"
241,Our actions can make a big difference. Let's give back to the environment by making the right choices. ♻️ See you g… https://t.co/KjjPtgXMDj
242,❤️ https://t.co/i66CMDsmxV
243,"Let's Go #BlueTigers 💪
Goodluck to the @IndianFootball team for the game against Qatar!  #QATIND #BackTheBlue"
244,Classy and elegant 👌Dress up for the occasion and let your style make a statement. Check out the latest @Manyavar_… https://t.co/50BK3U7bB9
245,Major announcement coming your way. 📢 Are you up for it? Watch this space tomorrow for more details.… https://t.co/He5XKsH8JN
247,Let's break free and unleash the madness. It's time to join THE WROGN TRIBE. 😉 Head over to https://t.co/jP3LrKr1sG… https://t.co/JeqXn06VGI
248,"There's nothing like failure in science, we experiment &amp; we gain. Massive respect for the scientists at #ISRO who w… https://t.co/2XQXr1mvep"
249,Watch Graham rocking the #Pumaone8 collection and how we take #one8 global soon! 🌍 What's say @PUMA? 😄 https://t.co/k8fr9b7wfd
250,"RT @StarSportsIndia: Ball Adams: What do you see in my future?
Ballaram: ☁☁, coz hawa mein udoge toh badal toh dikhenge! 🤭

But @imVkohli k…"
251,"As long as we look within, we won't need to seek anything outside. 💫 https://t.co/CvUVElZwjm"
252,@SDhawan25 Thanks Jatt ji 👍🏼
253,Healthy eating is an integral part of a healthy lifestyle. Congratulations to @drharshvardhan and the @fssaiindia t… https://t.co/SvgdnlZOyM
254,"Feels great to get win our first series in the Test Championship. 💪🏼
Thorough performance by the team overall, bles… https://t.co/RVhtP2NkEx"
255,Looking at the bright side ... always 😎💫  @MuveAcoustics https://t.co/iQsShy2x61
256,"Take a step, spread the joy. 😊 Go to any @PUMA India store or https://t.co/4XujqXrSSX and make it happen. 🙏🏼… https://t.co/4qneCo60bG"
257,"More than a football club, this is a family that unites all Goans across the world. Happy 5 years @FCGoaOfficial 🙏🏼… https://t.co/B7l7oekHVN"
258,"Also, Congratulations to @Pvsindhu1 for winning first ever Gold for India 🇮🇳at the #BWFWorldChampionships. We are proud of you."
259,"And congratulations to @nagalsumit for qualifying for the #USOpen. A humongous task facing the great @rogerfederer,… https://t.co/V9tMl3LYdw"
260,Clinical Victory and outstanding bowling effort! 🙌🏻 https://t.co/R0albJnEbz
261,"Shocked &amp; saddened to hear about the passing away of Shri Arun Jaitley ji. He was genuinely a good person, always w… https://t.co/k78CTtPIvP"
262,Stunning day at the beach with the boys 🇮🇳👌😎 https://t.co/38RdWLrCti
263,I never seem to run out of excuses to drive an Audi. 😄 Here are a few of them! 🤓 #Ad https://t.co/q0z8FWmXJG
264,"From starting as a teenager on the same day in 2008 to reflecting on the journey 11 years after, I couldn't have dr… https://t.co/xQmP9OtDab"
265,"Here's something special from @remit2india to all Indian fans across the globe who always support us. 😊🙏🏼
.
Use the… https://t.co/fnrnpJtNlU"
266,Great win last night and top batting in both games by this dude 🤙😎 https://t.co/qwmKqVLdTW
267,Wishing every Indian a Happy Independence Day. Let's work together towards progress of our country and create the I… https://t.co/8rGRse9FWk
268,"May this Eid bring joy, happiness and peace in your life. #EidAdhaMubarak"
269,Top win and top bowling from this guy . 🇮🇳👍 https://t.co/TX5FkhpTCX
270,"Better late than never.🏏😎
#BottleCapChallenge https://t.co/mjrStZxxTi"
271,"Always take more time to get the technique right before wanting to take the weight up. Same exercise 3 years apart,… https://t.co/k5mHRIRnjd"
272,"Deeply saddened by the news of Sushma Ji's demise, may her soul rest in peace. 🙏🏼"
273,Top win. Onto the odis now. 🇮🇳👏 https://t.co/OlpN670B9Y
274,"A true champion of the game. 
Happy retirement to the pace machine @DaleSteyn62 🙏🏼💯"
275,"With the biggest BOSS! 🙌
@ivivianrichards https://t.co/dy6EhFJvBQ"
276,"Of food experiences and endless stories, #one8commune is the new ensemble. 🍜🍝🥘 Feel the joy of communing with a glo… https://t.co/MIVQ0WkrXF"
277,SQUAD 👊💯 https://t.co/2uBjgiPjIa
278,Here's something to make the #one8 (1/8) day special! 😃 Top stuff @nikkfreestyler #postguru 💯#PlayTheDay… https://t.co/8x0E95Xqom
279,"I'm always on the go, so I need a little bit extra. #Wellman vitamins &amp; minerals help me stay in top shape and alwa… https://t.co/EJ3sqf8G5N"
280,Miami bound 😎💪🇮🇳 https://t.co/ywIh0ePTuZ
281,"Did you see what the future looks like? Follow @philipsindia to know how #OneBladeDoesItAll and see me style, trim… https://t.co/qXNbwlMIy4"
282,"@imjadeja is a game changer in the future too. 😄 Jaddu, I think it's time to reveal our secret weapon?… https://t.co/s7A2VRRnft"
283,Honoured to be a part of such a special evening at @ProKabaddi yesterday. Jai Hind 🇮🇳 https://t.co/gr6PFzRMr1
284,"Kabaddi, #IsseToughKuchNahi! Who is joining me in Mumbai to witness this LIVE?
Watch me at tonight's @ProKabaddi ga… https://t.co/RWBeVrnSnZ"
285,Make a lasting impression wherever you go. 😎 Check out my line of #one8Fragrances on https://t.co/2q89Gi4Esu and ge… https://t.co/am4FgHXZMS
286,"We will never forget all the sacrifices you made for us. Respect, Love, Salute. 🇮🇳 #JaiHind #KargilVijayDiwas"
287,Positivity attracts positivity. Your choice defines your outcome. 🙏😇 #BTS https://t.co/koj95Ycgrc
288,"Another historic and proud moment for the nation as the #Chandrayaan 2 is launched 🙏🏻 Jai Hind 🇮🇳
#ISRO #IndiaMoonMission"
289,Phenomenal achievement by our golden girl @Himadas8. You are certainly making us proud. Hats off to your spirit. Wi… https://t.co/SqAou0HjzG
290,"Hard work has no substitute. 🙌🏼
Music - @thescript https://t.co/vuVxc9Djjm"
292,Heartbroken to hear the devastation caused by the floods in Assam. My thoughts and prayers go out to everyone affec… https://t.co/GUqbt6KEyb
293,Also exquisite display of sport over 5 hours at the @Wimbledon final yesterday. Sheer grit and passion by… https://t.co/fLadnbZ3Hv
294,Great show by both the teams in the #CWC19Finals yesterday. Congratulations @englandcricket. 👍🏼
295,"Thank you Patrick and Basu for the amazing work you both have done for the team. More importantly, the friendship y… https://t.co/zYgGEWb6GF"
296,Firstly I want to thank all our fans who came in huge numbers to support the team. You made it a memorable tourname… https://t.co/lTmDlHDYZB
297,Happy birthday mahi bhai @msdhoni. Very few people understand the meaning of trust and respect and I'm glad to have… https://t.co/hN339N4shf
298,"On to the semis now! 🇮🇳
So proud of the character shown by the boys 💯💯 https://t.co/uGmU1s3aAc"
299,Smiles all around 🙂. Being able to inspire the future generation is a blessing. 😇 https://t.co/YFydI9VWG0
300,Was fun catching up with you Harry. Cheers and thank you for your wishes 👍🙂 https://t.co/1jvFFtBWGO
301,Mr and Mrs 💑❤ https://t.co/GREgKXTcS2
302,Wish you a very Happy B'day Bhajju Pa. 🤗 Wishing you the best of everything always! 🙌🏼 @harbhajan_singh
303,"Wish you the best going forward Ambati. You're a top man 👊🙂👏
@RayuduAmbati"
304,Also would like to thank all our fans for all the love &amp; support &amp; especially Charulata Patel ji. She's 87 and prob… https://t.co/HYlD6XKIhj
305,What a unit. We march on. Jai hind 🇮🇳 https://t.co/uDiih3fFiD
307,Belief is a beautiful gift. We must all use it. Good day to everyone 🤝✌ https://t.co/KnFbArIQUS
308,"Don't know about football, but Manchester was blue today! 🇮🇳💙
Comprehensive team victory. ✌🏼 #CWC19 https://t.co/b74AWgFdfG"
309,Out and about in manchester 😎 https://t.co/QbcjS5VORD
310,Loved the gold &amp; white combination on the pitch? @pumacricket has another cricket shoe for you inspired by my one8… https://t.co/sS67CucaSz
312,Breakfast alongside some good fellas 🤙😃. #staymadstaywrogn #basushanker @vijayshankar260 https://t.co/ppc0tHJ1FB
313,"What A Victory 🇮🇳💪
Tremendous effort by the boys. #CWC19 https://t.co/sERpXw2BzF"
314,Southampton diaries with this champ. 😎👍 https://t.co/rzwB9vaUyX
315,Spending time with kids is an absolute joy and an opportunity to contribute to their journey in some way. Such hone… https://t.co/hHaArW8ASN
316,also my reaction when we crossed 30 million on Twitter. 👀 Thanks for all the love and support everyone. 🙏🏼😊… https://t.co/6CdKjOQNdI
317,Doing it since the early 90s! 🤓 https://t.co/IVitRHUWpW
318,Top performance by the team. Thanks to all the fans for turning out in large numbers. 🇮🇳 👌🏼💪🏼 #CWC19 #INDvPAK https://t.co/BBGJ0Tbbvz
319,Eyes on the ball! #CWC19 #trainingday https://t.co/fMTXz6xuT2
320,RT @ICC: WAY-O! WAY-O! Our friends at @Uber have created this catchy fan anthem for the world's greatest cricket celebration! 🎶 #OnOurWayO…
321,A good lift is satisfying. 🏋️‍♂️💪 #makeitcount #nodaysoff https://t.co/jwGU6rqfVe
322,Caption this 💬 #TrainingDay https://t.co/Zir43Uyn5f
323,Some pictures indeed are special. 😃😇 @sachin_rt @virendersehwag https://t.co/eRb4LgNt3K
324,Congratulations on a wonderful career playing for the country paji. You gave us so many memories and victories and… https://t.co/bJSuMFtWx8
325,Top win. Onto the next one. 👍 #CWC19 https://t.co/ZV59smbd9o
326,"It's that time of the year, where you break free from the ordinary with the Wrogn Throwaway Festival. #StayWrogn 🤙… https://t.co/t5g0mXW8PH"
327,Next stop London. 🚌 ✌🏼 #travelday #CWC19 https://t.co/lW0n3i30es
328,A good laugh is the best medicine 😃 https://t.co/enFnDofkwl
329,Thank you #BlueTigers &amp; wish you all the best for the upcoming King's Cup. 😊 https://t.co/qocE2h5RD9
330,Thank you Thomas! 😊 https://t.co/vapwNrn5A8
331,Top session 🤙💪 https://t.co/DutuQ52k0Y
333,"Seedha seedha seedha shot dete haan!
The biggest anthem for the biggest stage. Our mantra for this World Cup -… https://t.co/qSgQRwoirp"
334,It was an honour meeting Her Majesty the Queen and Prince Harry at the Buckingham Palace yesterday. @RoyalFamily https://t.co/m552H9tPlt
335,Getting ready to #SockThem and guess who's helping me! @VivianDivine @PUMA 🔥 drops 31st May. https://t.co/b8NXcBmS6T
336,"Travelling can sometimes get hectic. Lucky for me, I picked up a few #Oceanone8 essentials in #Delhi a couple of we… https://t.co/GHkzcRecys"
337,"A friend, mentor and above all a fantastic human being. 
Happy birthday Ravi Bhai. @RaviShastriOfc"
338,It was a pleasure meeting you @HKane and all the best for the finals. 👍 https://t.co/Axpb2apmDB
339,It was a special evening at the Indian Cricket Heroes. @ICHOfficial 🇮🇳  #heroes https://t.co/tksrTNP628
340,Congratulations @narendramodi ji. We believe India is going to reach greater heights with your vision. Jai hind.
341,Back at it with the boys! #trainingday #CWC19 https://t.co/ZlyPnJdC5s
342,Touchdown UK! https://t.co/wnhtLalg8V
343,My World Cup 🏆 spikes are here - decked in gold &amp; white! Super excited to show you the PUMA one8 Gold Spike Collect… https://t.co/eEZlaY59mr
344,Behind every story of victory lies true support. Thank you @M_Raj03 and @amtouristerin for this motivating anthem.… https://t.co/h9ezpnhCxJ
345,The future looks bright! 😊 https://t.co/78LmfFMXjY
346,Watch what happens when I put my golden touch to test! 🤩 Grab the special edition cricket can by #Oceanone8 Energy… https://t.co/zrLpX2LcDW
347,#FlashbackFriday Hey guys can you guess this city? 😏 https://t.co/KfVGYCDaEF
348,Watch me and @RishabPant777 team up with @HimalayaMEN to take care of the one problem that keeps coming back. PIMPL… https://t.co/wg2I4soSyw
349,Thank you guys for these amazing artworks. Top stuff. 👍 💯 https://t.co/TFgxUDU7EM
351,"Shout out to @Myntra for being this creative, loved it! 💥 The colors caught me in a vibe and the catchy tune got me… https://t.co/nWYlehgNc5"
353,Voting is your right and responsibility towards nation building. Go vote. @ecisveep #GotInked https://t.co/DVHY1r4WnA
354,"This is what happened when I surprised a few folks, all thanks to #Oceanone8 for making this possible. 👏🏼 Also my s… https://t.co/9w4Or92CvC"
355,Every day is an opportunity to learn and grow. Stay humble. 🙏 https://t.co/HDiBCEQujq
358,Breathe. Hustle. 🔁 #one8 @puma https://t.co/0CkXT9UxZC
359,"Thank you guys for all the love &amp; support - the entire team including the fans, the ground staff &amp; the support staf… https://t.co/x46DjTmIq9"
360,Praying for everyone affected by #CycloneFani. Stay safe #Odisha
362,Game face on! #playbold https://t.co/BtMvxu1fB1
363,Speedy Recovery mate! You're a champion on and off the field. 😎 https://t.co/yQLjFHxJrU
364,"Thanks to #GoogleDuo, now I get pranked even when we’re in different pin codes. 🙄 @GoogleIndia https://t.co/rmhp501KwH"
365,This snap would probably help the Avengers better. 😄 Presenting the special edition cricket can from #Oceanone8 ene… https://t.co/LAUGoaHPMZ
366,#playbold https://t.co/j1A9rLYYBt
367,"Wish you a very Happy B'day Paaji, have a great year ahead. @sachin_rt 😊"
368,"#YourAccessToTheWorld can be as cool as mine! 🤙🏼
Get your #AmericanTourister Champions Edition, just like I did! 😎… https://t.co/AY5uxVpKOG"
369,Shocked to hear the news coming in from Sri Lanka. My thoughts and prayers go out to everyone affected by this tragedy. #PrayForSriLanka
370,"Hey guys, I’m super excited to announce that Mobile Premier League is now the Number 1 Gaming App in India 🇮🇳🙏 Ab h… https://t.co/NiiJwzhE1d"
371,Last night it went down to the wire but happy to get the desired result. 🤙🏼 https://t.co/3WTLZtlFVN
372,The best form of training is playing a sport. 👌🏼 https://t.co/Zl1h9gEzY6
373,Let's take one step on to the pitch to show the world – that we’re all equals once the kit is worn. And that’s why… https://t.co/gUAxXe0lw8
374,Sat Shri Akal saarreyaan nu! 🙏🏼 https://t.co/KWMACuCzuQ
375,Please follow &amp; support @able2uk as the disabled awareness organisation celebrates its 18th anniversary this year. 😊 #able2uk
376,Is there a right way to make ads? Probably the #WROGN way! 😎 @staywrogn with us on @hotstartweets and let us know w… https://t.co/O4GwQMSddS
377,Good game last night. 😊 #PlayBold https://t.co/buqj9gXWS4
378,A few from the practice session yesterday. ✌️ https://t.co/j3YX9KfRQW
379,Touchdown Mohali! https://t.co/F0vgKCDj3N
380,Have a look at what Chandigarh had in store for me when I went to check out the #Oceanone8 stock! 😎 Go get your can… https://t.co/lB337G7wWw
381,"Train hard, go the extra mile and believe in yourself. ✌🏻 https://t.co/Ap0NdFxH6r"
382,"You're always there to support @RCBTweets on the field, now connect with us off the field as well. 😊 Fitness routin… https://t.co/jkn3eNaBYS"
383,Owning the streets like a boss with my @amtouristerin #SwagPack! 😎🤘🏼 #GoSwagpackin https://t.co/4Ho4DYsM6r
384,Back in Bangalore and back to work. #thegrindneverstops https://t.co/Tu5uFHexmi
385,"To unlock your potential in what you do, it will require a great deal of practice, patience and consistency. Make i… https://t.co/Gd0FO88myS"
386,Off to Chennai ✈✈ #teamrcb #ipl https://t.co/Ule0QI3Igj
